# CH505TF SAXS T-Jumps Second Right Vectors
Double Exponential Decay Fit | Calculated with tr_tjump_saxs_analysis Python package | 25 February 2024time,double_exp_decay_model
3.393253253253253661e+02,-3.366199052789922556e-04
3.403233233233233364e+02,-3.368785388845759962e-04
3.413213213213213635e+02,-3.371368419018765886e-04
3.423193193193193338e+02,-3.373948147534555956e-04
3.433173173173173609e+02,-3.376524578613343758e-04
3.443153153153153312e+02,-3.379097716469950060e-04
3.453133133133133015e+02,-3.381667565313806060e-04
3.463113113113113286e+02,-3.384234129348964227e-04
3.473093093093092989e+02,-3.386797412774102643e-04
3.483073073073073260e+02,-3.389357419782533130e-04
3.493053053053052963e+02,-3.391914154562205587e-04
3.503033033033033234e+02,-3.394467621295719920e-04
3.513013013013012937e+02,-3.397017824160327663e-04
3.522992992992993209e+02,-3.399564767327941197e-04
3.532972972972972912e+02,-3.402108454965141341e-04
3.542952952952953183e+02,-3.404648891233181141e-04
3.552932932932932886e+02,-3.407186080287997803e-04
3.562912912912913157e+02,-3.409720026280212688e-04
3.572892892892892860e+02,-3.412250733355144325e-04
3.582872872872873131e+02,-3.414778205652812745e-04
3.592852852852852834e+02,-3.417302447307944907e-04
3.602832832832833105e+02,-3.419823462449982283e-04
3.612812812812812808e+02,-3.422341255203090074e-04
3.622792792792793080e+02,-3.424855829686159923e-04
3.632772772772772782e+02,-3.427367190012820756e-04
3.642752752752753054e+02,-3.429875340291440406e-04
3.652732732732732757e+02,-3.432380284625138629e-04
3.662712712712713028e+02,-3.434882027111789264e-04
3.672692692692692731e+02,-3.437380571844026204e-04
3.682672672672673002e+02,-3.439875922909255862e-04
3.692652652652652705e+02,-3.442368084389656625e-04
3.702632632632632976e+02,-3.444857060362191328e-04
3.712612612612612679e+02,-3.447342854898609961e-04
3.722592592592592950e+02,-3.449825472065459427e-04
3.732572572572572653e+02,-3.452304915924087883e-04
3.742552552552552925e+02,-3.454781190530652321e-04
3.752532532532532628e+02,-3.457254299936123997e-04
3.762512512512512899e+02,-3.459724248186299271e-04
3.772492492492492602e+02,-3.462191039321800144e-04
3.782472472472472873e+02,-3.464654677378084567e-04
3.792452452452452576e+02,-3.467115166385453481e-04
3.802432432432432847e+02,-3.469572510369055155e-04
3.812412412412412550e+02,-3.472026713348891694e-04
3.822392392392392821e+02,-3.474477779339830963e-04
3.832372372372372524e+02,-3.476925712351604421e-04
3.842352352352352796e+02,-3.479370516388819584e-04
3.852332332332332498e+02,-3.481812195450967621e-04
3.862312312312312770e+02,-3.484250753532423350e-04
3.872292292292292473e+02,-3.486686194622460417e-04
3.882272272272272176e+02,-3.489118522705248588e-04
3.892252252252252447e+02,-3.491547741759869466e-04
3.902232232232232150e+02,-3.493973855760316495e-04
3.912212212212212421e+02,-3.496396868675503088e-04
3.922192192192192124e+02,-3.498816784469270221e-04
3.932172172172172395e+02,-3.501233607100391848e-04
3.942152152152152098e+02,-3.503647340522583037e-04
3.952132132132132369e+02,-3.506057988684502680e-04
3.962112112112112072e+02,-3.508465555529764876e-04
3.972092092092092344e+02,-3.510870044996942723e-04
3.982072072072072046e+02,-3.513271461019572663e-04
3.992052052052052318e+02,-3.515669807526165857e-04
4.002032032032032021e+02,-3.518065088440210900e-04
4.012012012012012292e+02,-3.520457307680181953e-04
4.021991991991991995e+02,-3.522846469159543080e-04
4.031971971971972266e+02,-3.525232576786758000e-04
4.041951951951951969e+02,-3.527615634465292808e-04
4.051931931931932240e+02,-3.529995646093626264e-04
4.061911911911911943e+02,-3.532372615565251427e-04
4.071891891891892215e+02,-3.534746546768687036e-04
4.081871871871871917e+02,-3.537117443587480220e-04
4.091851851851852189e+02,-3.539485309900213547e-04
4.101831831831831892e+02,-3.541850149580514241e-04
4.111811811811812163e+02,-3.544211966497055801e-04
4.121791791791791866e+02,-3.546570764513567770e-04
4.131771771771772137e+02,-3.548926547488841145e-04
4.141751751751751840e+02,-3.551279319276734892e-04
4.151731731731732111e+02,-3.553629083726180275e-04
4.161711711711711814e+02,-3.555975844681190075e-04
4.171691691691692085e+02,-3.558319605980864555e-04
4.181671671671671788e+02,-3.560660371459394707e-04
4.191651651651652060e+02,-3.562998144946073103e-04
4.201631631631631763e+02,-3.565332930265293883e-04
4.211611611611612034e+02,-3.567664731236567404e-04
4.221591591591591737e+02,-3.569993551674517521e-04
