# CH505TF SAXS T-Jumps Second Right Vectors
Double Exponential Decay Fit | Calculated with tr_tjump_saxs_analysis Python package | 25 February 2024time,double_exp_decay_model
2.465115115115115145e+02,4.075577200758027652e-01
2.475095095095095132e+02,4.078220216303557466e-01
2.485075075075075119e+02,4.080858964418942469e-01
2.495055055055055107e+02,4.083493451994403278e-01
2.505035035035035094e+02,4.086123685909034409e-01
2.515015015015015081e+02,4.088749673030825926e-01
2.524994994994995068e+02,4.091371420216676213e-01
2.534974974974975055e+02,4.093988934312413619e-01
2.544954954954955042e+02,4.096602222152814221e-01
2.554934934934935029e+02,4.099211290561615151e-01
2.564914914914915016e+02,4.101816146351540127e-01
2.574894894894895288e+02,4.104416796324310557e-01
2.584874874874874990e+02,4.107013247270666634e-01
2.594854854854854693e+02,4.109605505970381767e-01
2.604834834834834965e+02,4.112193579192288118e-01
2.614814814814814667e+02,4.114777473694282706e-01
2.624794794794794939e+02,4.117357196223355165e-01
2.634774774774774642e+02,4.119932753515599955e-01
2.644754754754754913e+02,4.122504152296235791e-01
2.654734734734734616e+02,4.125071399279622297e-01
2.664714714714714887e+02,4.127634501169278325e-01
2.674694694694694590e+02,4.130193464657899716e-01
2.684674674674674861e+02,4.132748296427375956e-01
2.694654654654654564e+02,4.135299003148807384e-01
2.704634634634634835e+02,4.137845591482522956e-01
2.714614614614614538e+02,4.140388068078099115e-01
2.724594594594594810e+02,4.142926439574375341e-01
2.734574574574574513e+02,4.145460712599470798e-01
2.744554554554554784e+02,4.147990893770804322e-01
2.754534534534534487e+02,4.150516989695109960e-01
2.764514514514514758e+02,4.153039006968453073e-01
2.774494494494494461e+02,4.155556952176251984e-01
2.784474474474474732e+02,4.158070831893289077e-01
2.794454454454454435e+02,4.160580652683731895e-01
2.804434434434434706e+02,4.163086421101150347e-01
2.814414414414414409e+02,4.165588143688532807e-01
2.824394394394394681e+02,4.168085826978301656e-01
2.834374374374374383e+02,4.170579477492334375e-01
2.844354354354354655e+02,4.173069101741976872e-01
2.854334334334334358e+02,4.175554706228060686e-01
2.864314314314314629e+02,4.178036297440924085e-01
2.874294294294294332e+02,4.180513881860422609e-01
2.884274274274274603e+02,4.182987465955951834e-01
2.894254254254254306e+02,4.185457056186461244e-01
2.904234234234234577e+02,4.187922659000470338e-01
2.914214214214214280e+02,4.190384280836088604e-01
2.924194194194194552e+02,4.192841928121029405e-01
2.934174174174174254e+02,4.195295607272627736e-01
2.944154154154154526e+02,4.197745324697857994e-01
2.954134134134134229e+02,4.200191086793350070e-01
2.964114114114114500e+02,4.202632899945404343e-01
2.974094094094094203e+02,4.205070770530011104e-01
2.984074074074074474e+02,4.207504704912865545e-01
2.994054054054054177e+02,4.209934709449383861e-01
3.004034034034034448e+02,4.212360790484722672e-01
3.014014014014014151e+02,4.214782954353791800e-01
3.023993993993993854e+02,4.217201207381273687e-01
3.033973973973974125e+02,4.219615555881638391e-01
3.043953953953953828e+02,4.222026006159161904e-01
3.053933933933934100e+02,4.224432564507939469e-01
3.063913913913913802e+02,4.226835237211904461e-01
3.073893893893894074e+02,4.229234030544845035e-01
3.083873873873873777e+02,4.231628950770418562e-01
3.093853853853854048e+02,4.234020004142168836e-01
3.103833833833833751e+02,4.236407196903544392e-01
3.113813813813814022e+02,4.238790535287911831e-01
3.123793793793793725e+02,4.241170025518571918e-01
3.133773773773773996e+02,4.243545673808780672e-01
3.143753753753753699e+02,4.245917486361758808e-01
3.153733733733733970e+02,4.248285469370713940e-01
3.163713713713713673e+02,4.250649629018851683e-01
3.173693693693693945e+02,4.253009971479395634e-01
3.183673673673673647e+02,4.255366502915602922e-01
3.193653653653653919e+02,4.257719229480776413e-01
3.203633633633633622e+02,4.260068157318286919e-01
3.213613613613613893e+02,4.262413292561584854e-01
3.223593593593593596e+02,4.264754641334216889e-01
3.233573573573573867e+02,4.267092209749844267e-01
3.243553553553553570e+02,4.269426003912255574e-01
3.253533533533533841e+02,4.271756029915384500e-01
3.263513513513513544e+02,4.274082293843325386e-01
3.273493493493493816e+02,4.276404801770350428e-01
3.283473473473473518e+02,4.278723559760922446e-01
3.293453453453453790e+02,4.281038573869713204e-01
3.303433433433433493e+02,4.283349850141618953e-01
3.313413413413413764e+02,4.285657394611775417e-01
3.323393393393393467e+02,4.287961213305573893e-01
3.333373373373373738e+02,4.290261312238677904e-01
3.343353353353353441e+02,4.292557697417036522e-01
3.353333333333333712e+02,4.294850374836902684e-01
3.363313313313313415e+02,4.297139350484846521e-01
3.373293293293293686e+02,4.299424630337774778e-01
3.383273273273273389e+02,4.301706220362941924e-01
3.393253253253253661e+02,4.303984126517966802e-01
3.403233233233233364e+02,4.306258354750851503e-01
3.413213213213213635e+02,4.308528910999991357e-01
3.423193193193193338e+02,4.310795801194197141e-01
3.433173173173173609e+02,4.313059031252704512e-01
3.443153153153153312e+02,4.315318607085192326e-01
3.453133133133133015e+02,4.317574534591797075e-01
